aalib 1.4rc5-12
curl 7.59.0-2
db 5.3.28-3
dbus 1.12.6-1
dbus-glib 0.110-1
dconf 0.28.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.177-5
dhcpcd 7.0.4-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
discord 0.0.5-2
djvulibre 3.5.27-3
dleyna-connector-dbus 0.3.0-1
dleyna-core 0.6.0-1
dleyna-renderer 0.6.0-1
dleyna-server 0.6.0-1
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
docker 1:18.04.0-1
docker-compose 1.21.2-1
dosfstools 4.1-1
dotconf 1.3-4
e2fsprogs 1.44.1-1
efibootmgr 15-1
efivar 34-1
enchant 2.2.3-1
enpass-bin 5.6.8-1
eog 3.28.1-1
epiphany 3.28.1.1-1
espeak 1:1.48.04-1
evince 3.28.2-1
evolution 3.28.1-1
evolution-data-server 3.28.1-1
exempi 2.4.5-1
exiv2 0.26-2
expat 2.2.5-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.22-1
ffmpeg 1:3.4.2-2
fftw 3.3.7-1
file 5.33-1
file-roller 3.28.0-1
filesystem 2018.1-2
findutils 4.6.0-2
firefox 59.0.2-2
flac 1.3.2-1
flex 2.6.4-1
folks 0.11.4+26+g2c992227-1
fontconfig 2.13.0+10+g58f5285-1
freetype2 2.9.1-1
frei0r-plugins 1.6.1-5
fribidi 1.0.2-1
fuse-common 3.2.2-2
fuse2 2.9.7-4
gamin 0.1.10-8
gavl 1.4.0-3
gawk 4.2.1-1
gc 7.6.4-1
gcab 1.0+2+gc0947f6-1
gcc 7.3.1+20180406-1
gcc-libs 7.3.1+20180406-1
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-3
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.12-1
gdm 3.28.1-1
gedit 3.28.1-1
gegl 0.3.34-1
geoclue2 2.4.7-1
geocode-glib 3.25.4.1-1
gettext 0.19.8.1-2
gfbgraph 0.2.3+10+gbc03c1f-1
ghostscript 9.23-1
giflib 5.1.4-1
git 2.17.0-1
gjs 1:1.52.2-1
glib-networking 2.56.0-1
glib2 2.56.1-1
glibc 2.27-2
glibmm 2.56.0-1
glu 9.0.0-4
gmime3 3.2.0-1
gmp 6.1.2-1
gnome-autoar 0.2.3-1
gnome-backgrounds 3.28.0-1
gnome-bluetooth 3.28.0-1
gnome-boxes 3.28.2-1
gnome-calculator 3.28.1-1
gnome-calendar 3.28.2-1
gnome-characters 3.28.0-1
gnome-clocks 3.28.0+1+gecbbce8-1
gnome-color-manager 3.28.0-1
gnome-contacts 3.28.1-1
gnome-control-center 3.28.1-1
gnome-desktop 1:3.28.1+3+g436ca8f0-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.28.1-1
gnome-documents 3.28.0-1
gnome-font-viewer 3.28.0-1
gnome-getting-started-docs 3.28.1-1
gnome-keyring 1:3.28.0.2-1
